Date,asset,year,strategy,horizon,threshold,signal,p_up,gross_asset_ret,turnover_asset,net_asset_ret,position_asset,daily_ret_clp,price_usd,usdclp,price_clp
2020-12-16,ECH,2020,LOGIT,5,0.6,0.0,0.4894692835269984,0.0,0.0,0.0,0.0,0.008475228994432094,22.84026527404785,735.7000122070312,16803.583440928836
2020-12-17,ECH,2020,LOGIT,5,0.6,0.0,0.39620983556299727,0.0,0.0,0.0,0.0,0.038327613696317986,23.780324935913086,733.7000122070312,17447.6246957666
2020-12-17,CPER,2020,HGB,20,0.52,0.0,0.28046000489382505,0.0,0.0,0.0,0.0,0.009487596224100114,22.329999923706055,733.7000122070312,16383.52121660614
2020-12-17,QQQ,2020,MOMENTUM,1,,1.0,,0.0038015603256669195,0.0,0.0038015603256669195,1.0,0.0038015603256669195,300.2346496582031,733.7000122070312,220282.16611919738
2020-12-18,ECH,2020,LOGIT,5,0.6,0.0,0.38229271461809994,-0.0,0.0,-0.0,0.0,-0.0210465558577555,23.676755905151367,721.4000244140625,17080.412288021995
2020-12-18,CPER,2020,HGB,20,0.52,0.0,0.2758009937827508,-0.0,0.0,-0.0,0.0,-0.011480445237575077,22.450000762939453,721.4000244140625,16195.431098480243
2020-12-18,QQQ,2020,MOMENTUM,1,,1.0,,-0.019736295521266434,0.0,-0.019736295521266434,1.0,-0.019736295521266434,299.3271484375,721.4000244140625,215934.6121906042
2020-12-21,ECH,2020,LOGIT,5,0.6,1.0,0.6445291087236964,-0.0,0.0,-0.0,0.0,-0.017936792284606873,23.14299774169922,724.7999877929688,16774.044480676297
2020-12-21,QQQ,2020,MOMENTUM,1,,1.0,,0.002833232681043407,0.0,0.002833232681043407,1.0,0.002833232681043407,298.7671203613281,724.7999877929688,216546.40519083105
2020-12-21,CPER,2020,HGB,20,0.52,0.0,0.2568108311071712,-0.0,0.0,-0.0,0.0,-0.006475333435716379,22.200000762939453,724.7999877929688,16090.560281982413
2020-12-22,CPER,2020,HGB,20,0.52,0.0,0.30565366568590674,-0.0,0.0,-0.0,0.0,-0.019864803175697276,21.75,725.0999755859375,15770.92446899414
2020-12-22,QQQ,2020,MOMENTUM,1,,1.0,,0.0031342188928458192,0.0,0.0031342188928458192,1.0,0.0031342188928458192,299.57952880859375,725.0999755859375,217225.109025158
2020-12-22,ECH,2020,LOGIT,5,0.6,0.0,0.4975501673949259,0.0,1.0,-0.0015,0.0,0.012122602078477929,23.413860321044922,725.0999755859375,16977.389547162224
2020-12-23,QQQ,2020,MOMENTUM,1,,0.0,,-0.009015306892342534,0.0,-0.009015306892342534,1.0,-0.009015306892342534,298.0708312988281,722.2000122070312,215266.75800257362
2020-12-23,ECH,2020,LOGIT,5,0.6,0.0,0.4773975859139402,0.0010839705882392803,1.0,-0.00041602941176071976,1.0,0.0010839705882392803,23.53335952758789,722.2000122070312,16995.79253809643
2020-12-23,CPER,2020,HGB,20,0.52,0.0,0.30388350800998176,0.0,0.0,0.0,0.0,0.006075059422629536,21.969999313354492,722.2000122070312,15866.733772293082
2020-12-24,QQQ,2020,MOMENTUM,1,,0.0,,-0.00754832611307954,1.0,-0.00904832611307954,1.0,-0.00754832611307954,299.3860168457031,713.5999755859375,213641.85431186482
2020-12-24,CPER,2020,HGB,20,0.52,0.0,0.31862562337802186,-0.0,0.0,-0.0,0.0,-0.010109084113872124,22.010000228881836,713.5999755859375,15706.335625976557
2020-12-24,ECH,2020,LOGIT,5,0.6,1.0,0.7245368373247807,-0.0,0.0,-0.0,0.0,-0.005552836350905199,23.684722900390625,713.5999755859375,16901.417683478445
