Date,asset,year,strategy,horizon,threshold,signal,p_up,position_asset_level,turnover_asset_level,daily_ret_clp,strategy_ret_asset_level,price_usd,usdclp,price_clp
2018-11-09,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.013647668564643056,-0.013647668564643056,163.12892150878906,677.2000122070312,110470.9076370718
2018-11-09,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.013149208215197272,-0.013149208215197272,16.84000015258789,677.2000122070312,11404.048308898928
2018-11-12,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.007077996089529082,-0.007077996089529082,32.18518829345703,684.0,22014.66879272461
2018-11-12,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.005842837771866449,0.005842837771866449,16.770000457763672,684.0,11470.680313110352
2018-11-12,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.02052137679025634,-0.02052137679025634,158.1928253173828,684.0,108203.89251708984
2018-11-13,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0002129107906478911,-0.0002129107906478911,32.03315734863281,687.0999755859375,22009.9816321861
2018-11-13,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.005730166323372199,0.005730166323372199,16.790000915527344,687.0999755859375,11536.409219146706
2018-11-13,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.005377528653651709,0.005377528653651709,158.32595825195312,687.0999755859375,108785.76204953715
2018-11-14,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.021427022332305645,0.021427022332305645,32.53486251831055,691.0,22481.590000152588
2018-11-14,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0019962483819065957,-0.0019962483819065957,157.1180877685547,691.0,108568.59864807129
2018-11-14,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.02184825512267352,0.02184825512267352,17.059999465942383,691.0,11788.459630966187
2018-11-15,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.004241563687333638,0.004241563687333638,159.86671447753906,682.0,109029.09927368164
2018-11-15,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.005423284260201777,0.005423284260201777,33.142982482910156,682.0,22603.514053344727
