,pos_NASDAQ100_TR,ret_NASDAQ100_TR,pos_CHILE_LARGECAP_NTR,ret_CHILE_LARGECAP_NTR,pos_COPPER_MINERS_TR,ret_COPPER_MINERS_TR,portfolio_ret_gross,cost,portfolio_ret_net,capital,cash_weight
2026-05-04,0.0,-0.0020823265201693753,0.0,-0.02734798592927601,0.0,-0.022955115883591226,0.0,0.0,0.0,10000000.0,1.0
2026-05-05,0.0,0.013209652340087308,0.0,0.0010333106730116004,0.0,0.017804490814243623,0.0,0.0,0.0,10000000.0,1.0
2026-05-06,0.0,0.020850051369522005,0.0,0.052399967402819714,0.0,0.06485648540632205,0.0,0.0,0.0,10000000.0,1.0
2026-05-07,0.0,-0.0012316147148839773,0.0,0.005407568014041519,0.0,0.001278359332705481,0.0,0.0,0.0,10000000.0,1.0
2026-05-08,0.0,0.023573157157732227,0.0,-0.020551198285046812,0.0,0.027492798531536522,0.0,0.0,0.0,10000000.0,1.0
2026-05-11,0.0,0.002995699102160243,0.0,-0.007863489816780644,0.0,0.02764597934953228,0.0,0.0,0.0,10000000.0,1.0
2026-05-12,0.0,-0.008726071362521126,0.0,-0.010858365697075434,0.0,0.020895278338360912,0.0,0.0,0.0,10000000.0,1.0
2026-05-13,0.0,0.01042357890886314,0.0,-0.019150641025640902,0.0,0.030195613964839163,0.0,0.0,0.0,10000000.0,1.0
2026-05-14,0.0,0.00727933697947325,0.0,0.014881681779810974,0.0,-0.01650867165540859,0.0,0.0,0.0,10000000.0,1.0
2026-05-15,0.0,-0.015222753262830624,0.0,-0.0200029514750667,0.0,-0.06489254603090089,0.0,0.0,0.0,10000000.0,1.0
2026-05-18,0.0,-0.004471102154701367,0.0,0.006571021793888798,0.0,-0.018319890739068256,0.0,0.0,0.0,10000000.0,1.0
2026-05-19,0.0,-0.00603227756453828,0.0,-0.023868458274398763,0.0,-0.030267600208460754,0.0,0.0,0.0,10000000.0,1.0
2026-05-20,0.0,0.01663373009006719,0.0,0.04037730065623557,0.0,0.02678212593347218,0.0,0.0,0.0,10000000.0,1.0
2026-05-21,0.0,0.002163888975979411,0.0,-0.0024507506260798007,0.0,0.012912064155254255,0.0,0.0,0.0,10000000.0,1.0
2026-05-22,0.0,0.0042564222031162835,0.0,-0.00635001610997743,0.0,0.0025252298318609867,0.0,0.0,0.0,10000000.0,1.0
2026-05-25,0.0,0.0,0.0,0.04080254002567063,0.0,0.0176051919181055,0.0,0.0,0.0,10000000.0,1.0
2026-05-26,0.0,0.0176269178135533,0.0,-0.011436360096060305,0.0,0.026435404591180545,0.0,0.0,0.0,10000000.0,1.0
2026-05-27,0.0,-0.0009227540600766915,0.0,0.007432308217559358,0.0,-0.0055868798434643985,0.0,0.0,0.0,10000000.0,1.0
2026-05-28,0.0,0.008351305264200137,0.0,0.00552659019812296,0.0,0.028427920463960366,0.0,0.0,0.0,10000000.0,1.0
2026-05-29,0.0,0.0036771219419156065,0.0,-0.006325832209893356,0.0,0.0022867260795864652,0.0,0.0,0.0,10000000.0,1.0
2026-06-01,0.0,0.005956506554184671,0.0,-0.02262053850970558,0.0,0.019847034247750805,0.0,0.0,0.0,10000000.0,1.0
2026-06-02,0.0,0.004832384797886391,0.0,-0.007527828942099801,0.0,0.05158485826170489,0.0,0.0,0.0,10000000.0,1.0
2026-06-03,0.0,-0.0029120158830422405,0.0,-0.01794023507894249,0.0,-0.028459902023928008,0.0,0.0,0.0,10000000.0,1.0
2026-06-04,0.0,-0.005150404525210872,0.0,-0.002410166520596002,0.0,-0.006810128006299987,0.0,0.0,0.0,10000000.0,1.0
2026-06-05,0.0,-0.04756578298207559,0.0,-0.01962991434219208,0.0,-0.09260555261145864,0.0,0.0,0.0,10000000.0,1.0
2026-06-08,0.0,0.015811214249057848,0.0,-0.022249292895348494,0.0,0.0034550861096622754,0.0,0.0,0.0,10000000.0,1.0
2026-06-09,0.0,-0.011204438862675081,0.0,0.044451445674433376,0.0,-0.006570938591268893,0.0,0.0,0.0,10000000.0,1.0
2026-06-10,0.0,-0.019820440315201693,0.0,-0.007033852988359124,0.0,-0.02815704619347681,0.0,0.0,0.0,10000000.0,1.0
2026-06-11,0.0,0.03290823851694835,0.0,0.04417288041977363,0.0,0.046123686765727756,0.0,0.0,0.0,10000000.0,1.0
2026-06-12,0.0,0.006475560077214615,0.0,0.030759465213769044,0.0,0.04129239431663212,0.0,0.0,0.0,10000000.0,1.0
2026-06-15,0.0,0.03072805307965032,0.0,0.008429020463146975,0.0,0.038657975557310875,0.0,0.0,0.0,10000000.0,1.0
2026-06-16,0.0,-0.01885103584506076,0.0,0.0035876949695936577,0.0,0.00039452063708989016,0.0,0.0,0.0,10000000.0,1.0
2026-06-17,0.0,-0.009902097519621456,0.0,-0.005793316768926582,0.0,-0.014839509686337515,0.0,0.0,0.0,10000000.0,1.0
2026-06-18,0.0,0.02477978815580517,0.0,-0.006847131727593769,0.0,-0.01821183170666285,0.0,0.0,0.0,10000000.0,1.0
2026-06-19,0.0,0.0,0.0,-0.00675311336500195,0.0,-0.010840598229523102,0.0,0.0,0.0,10000000.0,1.0
