,portfolio_gross_ret,portfolio_turnover,portfolio_net_ret,capital_clp,benchmark_ret,benchmark_capital_clp
2022-08-30,-0.013970209357564184,0.0,-0.013970209357564184,15157283.426346958,-0.01645243067106651,19940627.636931892
2022-08-31,-0.0034419535475111794,0.17369195772075396,-0.00370249148409231,15101163.713538934,-0.0036678589526010887,19867488.227333285
2022-09-01,-0.006444783107732544,0.0,-0.006444783107732544,15003839.988730814,-0.005846549726077021,19751331.969479933
2022-09-02,0.019904146698775216,0.0,0.019904146698775216,15302478.620911462,0.01882608881449542,20123172.299341943
2022-09-06,-0.01958058625197081,0.0,-0.01958058625197081,15002847.118405767,-0.02143325957903659,19691867.12389647
2022-09-07,0.009789103690854242,0.0,0.009789103690854242,15149711.544505872,0.012338289730246754,19934831.085800618
2022-09-08,0.005955831293160706,0.0,0.005955831293160706,15239940.670604998,0.005578506699682018,20046037.67456979
2022-09-09,0.00033538694774127973,0.0,0.00033538694774127973,15245051.947790274,0.0018548068130118227,20083219.201822467
2022-09-12,0.031189262463816106,0.0,0.031189262463816106,15720533.874264415,0.03414656420881568,20768992.135817222
2022-09-13,-0.03718971511200922,0.0,-0.03718971511200922,15135891.69807183,-0.04196839800522824,19897350.80769379
2022-09-14,0.022542452602188734,0.0,0.022542452602188734,15477091.819267476,0.024801397171262486,20390832.907731343
2022-09-15,-0.01337218882062379,0.0,-0.01337218882062379,15270129.225066101,-0.014408029088182762,20097041.194064476
2022-09-16,0.006780828446547145,0.0,0.006780828446547145,15373673.351697879,0.0065851915453659085,20229384.0598225
2022-09-19,0.0027986014688950473,0.0,0.0027986014688950473,15416698.13652225,0.0032805095166228313,20295746.746746164
2022-09-20,-0.017798009893644228,0.0,-0.017798009893644228,15142311.590561101,-0.01837243727345117,19922864.41272372
2022-09-21,-0.0001459162955338299,0.0,-0.0001459162955338299,15140102.080547988,-0.000679903326002285,19909318.790946014
2022-09-22,-0.002736198574529307,0.0,-0.002736198574529307,15098675.754816964,-0.0033830965751266754,19841963.64273126
2022-09-23,-0.01866725867919548,0.0,-0.01866725867919548,14816824.8687885,-0.019261868954024385,19459770.339254454
2022-09-26,0.006407539027912469,0.0,0.006407539027912469,14911764.252405006,0.00816693190288823,19618696.95846099
2022-09-27,0.023426355211591803,0.0,0.023426355211591803,15261092.538613364,0.0253134035649341,20115312.95198866
2022-09-28,0.011109397686770998,0.0,0.011109397686770998,15430634.084759433,0.011938589673811983,20355461.419482768
2022-09-29,-0.030547021307224292,0.0,-0.030547021307224292,14959274.176588306,-0.03492536737187644,19644539.451383274
2022-09-30,-0.0013172727238908053,0.0,-0.0013172727238908053,14939568.732746283,-0.0020486519820263616,19604294.6267002
2022-10-03,0.022909249370926567,0.0,0.022909249370926567,15281823.038338866,0.025056519443192406,20095510.01618419
2022-10-04,-0.0011525648328923179,0.0,-0.0011525648328923179,15264209.746522395,-0.000993746089151004,20075540.18169611
2022-10-05,-0.010498049904234277,0.0,-0.010498049904234277,15103965.310854703,-0.011242060435525223,19849849.745697666
2022-10-06,-0.0057568669078742925,0.0,-0.0057568669078742925,15017013.792778963,-0.0056809036634250624,19737084.661558896
2022-10-07,-0.015640385030021832,0.0,-0.015640385030021832,14782141.915058753,-0.01825604509559332,19376763.55392193
